Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.548,1.573,1.834,0.73,0.868,2.123,-1.512,0.473
CC,1.246,1.34,1.48,0.804,0.886,1.528,0.286,0.599
CI,1.0,1.063,1.063,0.697,0.697,0.965,0.024,0.656
