Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.626,2.237,2.378,0.965,1.163,0.432,0.489
CC,1.923,1.735,1.897,1.073,1.346,0.618,0.71
CI,1.908,2.104,2.149,1.194,1.495,0.567,0.696
