Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.92,0.995,0.887,0.492,0.471,0.383,0.223,0.531
CC,1.109,0.548,0.703,0.247,0.26,0.043,0.199,0.369
CI,1.0,0.155,0.155,1.665,1.665,0.747,0.199,10.768
