Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.312,1.533,1.43,1.167,1.312,0.761,0.918
CC,0.97,1.662,1.675,0.794,0.782,0.478,0.467
CI,2.392,1.683,1.06,0.886,1.156,0.526,1.09
