Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.997,1.343,1.339,0.592,0.591,1.692,-0.184,0.441
CC,2.392,1.117,1.952,0.304,0.397,0.004,-0.249,0.203
CI,1.0,0.323,0.323,0.199,0.199,-0.769,-0.046,0.616
