Subject,Condition,contrast
00024,CC,3.9885533824714896
00024,CI,5.3444408442949145
00024,SC,5.021621940726299
00030,CC,3.5327027257575203
00030,CI,3.3031776783723523
00030,SC,3.790435858355735
00074,CC,3.3772060870392244
00074,CI,2.6137578293398107
00074,SC,2.609952979389737
00081,CC,4.524895507721902
00081,CI,4.3790952480902545
00081,SC,5.20345459523866
000087,CC,4.063447877113424
000087,CI,3.113848977810025
000087,SC,2.853707793409841
00089,CC,3.384546849431792
00089,CI,3.699345628202354
00089,SC,3.20718115021527
00091,CC,2.6977581026499013
00091,CI,2.8343130766591997
00091,SC,3.001557518583003
00093,CC,3.128659731991749
00093,CI,3.09790751272222
00093,SC,2.746746719744041
00094,CC,3.488955205814217
00094,CI,3.2513797483371873
00094,SC,4.634007229940071
00096,CC,4.9242668544461266
00096,CI,5.380145112994857
00096,SC,4.531261218470421
00097,CC,4.273834407991047
00097,CI,3.7598999850024857
00097,SC,4.825860409869955
00098,CC,4.047172252170681
00098,CI,3.89933759393869
00098,SC,4.026075291918143
00099,CC,3.510944054372643
00099,CI,3.4724215151701987
00099,SC,3.524957173180866
00100,CC,2.832750978025275
00100,CI,3.674555400514744
00100,SC,3.4304515568858553
00102,CC,3.178244007354838
00102,CI,3.9154397449401745
00102,SC,5.417629741488511
00105,CC,4.424159913312
00105,CI,4.209047178919566
00105,SC,3.090063441450119
