Subject,Condition,Metric,Rate
00024,SC,HR,0.561
00024,CC,HR,0.604
00024,CI,HR,0.591
00030,SC,HR,0.825
00030,CC,HR,0.675
00030,CI,HR,0.715
00074,SC,HR,0.46
00074,CC,HR,0.635
00074,CI,HR,0.475
00081,SC,HR,0.454
00081,CC,HR,0.5
00081,CI,HR,0.492
000087,SC,HR,0.065
000087,CC,HR,0.355
000087,CI,HR,0.065
00089,SC,HR,0.385
00089,CC,HR,0.395
00089,CI,HR,0.355
00091,SC,HR,0.535
00091,CC,HR,0.405
00091,CI,HR,0.315
00093,SC,HR,0.319
00093,CC,HR,0.475
00093,CI,HR,0.405
00094,SC,HR,0.595
00094,CC,HR,0.585
00094,CI,HR,0.395
00096,SC,HR,0.115
00096,CC,HR,0.151
00096,CI,HR,0.265
00097,SC,HR,0.805
00097,CC,HR,0.655
00097,CI,HR,0.395
00098,SC,HR,0.495
00098,CC,HR,0.325
00098,CI,HR,0.405
00099,SC,HR,0.235
00099,CC,HR,0.275
00099,CI,HR,0.305
00100,SC,HR,0.325
00100,CC,HR,0.199
00100,CI,HR,0.375
00102,SC,HR,0.355
00102,CC,HR,0.38
00102,CI,HR,0.275
00105,SC,HR,0.452
00105,CC,HR,0.635
00105,CI,HR,0.823
00024,SC,FAR,0.075
00024,CC,FAR,0.185
00024,CI,FAR,0.175
00030,SC,FAR,0.415
00030,CC,FAR,0.385
00030,CI,FAR,0.475
00074,SC,FAR,0.185
00074,CC,FAR,0.195
00074,CI,FAR,0.175
00081,SC,FAR,0.288
00081,CC,FAR,0.288
00081,CI,FAR,0.265
000087,SC,FAR,0.018
000087,CC,FAR,0.025
000087,CI,FAR,0.015
00089,SC,FAR,0.025
00089,CC,FAR,0.055
00089,CI,FAR,0.055
00091,SC,FAR,0.175
00091,CC,FAR,0.105
00091,CI,FAR,0.065
00093,SC,FAR,0.065
00093,CC,FAR,0.095
00093,CI,FAR,0.145
00094,SC,FAR,0.197
00094,CC,FAR,0.185
00094,CI,FAR,0.115
00096,SC,FAR,0.056
00096,CC,FAR,0.089
00096,CI,FAR,0.075
00097,SC,FAR,0.285
00097,CC,FAR,0.207
00097,CI,FAR,0.145
00098,SC,FAR,0.095
00098,CC,FAR,0.065
00098,CI,FAR,0.125
00099,SC,FAR,0.065
00099,CC,FAR,0.035
00099,CI,FAR,0.085
00100,SC,FAR,0.055
00100,CC,FAR,0.042
00100,CI,FAR,0.015
00102,SC,FAR,0.035
00102,CC,FAR,0.125
00102,CI,FAR,0.035
00105,SC,FAR,0.185
00105,CC,FAR,0.215
00105,CI,FAR,0.26
