Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.0,1.87,1.87,0.633,0.633,0.219,-0.587,0.339
CC,0.751,1.556,1.304,0.657,0.558,0.672,-0.326,0.428
CI,1.596,0.616,1.275,0.323,0.387,-1.105,-0.003,0.304
