Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.425,1.734,1.777,0.853,0.988,0.492,0.556
CC,0.982,1.912,1.907,0.832,0.824,0.435,0.432
CI,3.537,1.751,1.489,0.962,1.309,0.549,0.879
