Condition,T,dof,p_unc,hedges,p_bonf
SC,2.1984779190546457,15.0,0.04402325666215987,0.7714715075808964,0.13206976998647962
CC,-0.35624029859993456,15.0,0.7266216334459499,-0.1231901387625648,1.0
CI,-2.9543088555412167,15.0,0.009846810333852433,-0.9605144331397659,0.0295404310015573
