Condition,Measure,mean,std,count
SC,HR,0.4245625,0.13189691366113665,16
SC,FAR,0.079,0.05821225529617167,16
CC,HR,0.360375,0.10110975884321619,16
CC,FAR,0.0929375,0.06913221029303201,16
CI,HR,0.183375,0.12116373219738652,16
CI,FAR,0.050875000000000004,0.05512032293083922,16
