Task,Category,mean,std,count,sem
2IFC,SC,78.97727272727273,2.1654439189032426,16,0.5413609797258107
2IFC,CC,79.64015151515152,3.0953663313462774,16,0.7738415828365693
2IFC,CI,78.31439393939394,2.456773524233057,16,0.6141933810582643
YN,SC,67.23484848484848,5.743307383620644,16,1.435826845905161
YN,CC,63.25757575757576,4.287479210263015,16,1.0718698025657538
YN,CI,56.4709595959596,4.20627031080486,16,1.051567577701215
