Phase,Category,mean,std,count,sem
After 2IFC,SC,63.73106060606061,11.96478574890537,16,2.9911964372263427
After 2IFC,CC,64.80429292929293,12.394120159814962,16,3.0985300399537405
After 2IFC,CI,65.05681818181819,13.56223616910103,16,3.3905590422752576
After YN,SC,66.95075757575758,11.62123846019166,16,2.905309615047915
After YN,CC,64.17297979797979,11.226018550704667,16,2.806504637676167
After YN,CI,67.14015151515152,14.616210189816417,16,3.6540525474541043
