Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Condition,SC,CC,True,True,-1.8203281652794352,15.0,two-sided,0.0887183774637688,0.2661551323913064,bonf,0.972,-0.5479822237841478
Condition,SC,CI,True,True,-1.0294209137577304,15.0,two-sided,0.31959618557464525,0.9587885567239358,bonf,0.403,-0.3560338621814911
Condition,CC,CI,True,True,0.8583577873629303,15.0,two-sided,0.40420276173081926,1.0,bonf,0.352,0.241453633498288
