Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.112,1.873,1.856,1.108,1.165,0.592,0.628
CC,2.827,1.669,1.488,0.915,1.219,0.548,0.819
CI,2.374,1.668,1.469,1.023,1.333,0.613,0.908
