Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,3.085,1.636,2.014,0.554,0.746,0.559,0.878,0.37
CC,3.261,1.561,2.211,0.476,0.644,-0.373,0.218,0.291
CI,2.17,0.246,1.085,0.105,0.135,-1.349,-0.057,0.124
