Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.016,1.457,1.463,0.73,0.736,0.501,0.503
CC,1.545,1.493,1.479,0.923,1.096,0.619,0.741
CI,1.188,1.63,1.645,0.961,1.04,0.589,0.632
