Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.862,1.25,1.329,0.966,1.203,0.773,0.905
CC,2.234,1.475,1.698,0.805,1.039,0.546,0.612
CI,1.725,1.453,1.525,0.786,0.961,0.541,0.63
