Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.741,0.96,0.833,0.923,0.777,1.327,0.063,0.933
CC,1.671,0.927,1.237,0.844,1.025,1.341,0.269,0.828
CI,0.507,0.911,0.298,0.657,0.42,1.036,-0.124,1.41
