Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.809,1.674,1.598,0.768,0.683,0.459,0.427
CC,2.032,1.884,2.099,0.733,0.93,0.389,0.443
CI,1.102,1.889,1.912,0.956,1.001,0.506,0.523
