Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.956,1.891,2.165,0.682,0.914,0.388,0.375,0.422
CC,5.0,1.535,1.847,0.7,0.971,-1.146,0.035,0.525
CI,5.0,1.427,2.045,0.571,0.792,-2.414,0.149,0.387
