Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,2.826,0.948,1.326,0.651,0.868,-1.192,0.451,0.655
CC,2.04,0.864,1.16,0.52,0.66,-0.509,0.517,0.569
CI,1.131,0.441,0.587,0.325,0.344,0.674,0.066,0.587
