Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.384,2.198,2.31,0.906,1.038,0.412,0.449
CC,2.236,2.147,2.311,0.85,1.097,0.396,0.475
CI,1.085,1.8,1.815,1.061,1.103,0.59,0.608
