Phase,Category,mean,std,count
After 2IFC,SC,63.150252525252526,13.62337422244985,16
After 2IFC,CC,63.33333333333333,15.32919388902155,16
After 2IFC,CI,64.80429292929293,15.050978174833615,16
After YN,SC,67.62626262626263,15.235368413737469,16
After YN,CC,67.16540404040404,15.515250979531762,16
After YN,CI,68.65530303030303,16.48092474718563,16
