Measure,Condition,mean,std,count
HR,SC,0.4363125,0.20961543160432314,16
HR,CC,0.45306250000000003,0.16805612901646882,16
HR,CI,0.4156875,0.18071366624211538,16
FAR,SC,0.1386875,0.11488122489481617,16
FAR,CC,0.1435,0.10056573306383573,16
FAR,CI,0.1390625,0.1177457536389317,16
