Subject,Phase,Category,Accuracy
00024,After 2IFC,CC,76.96969696969697
00024,After 2IFC,CI,71.21212121212122
00024,After 2IFC,SC,66.66666666666666
00024,After YN,CC,65.45454545454545
00024,After YN,CI,68.18181818181817
00024,After YN,SC,63.13131313131313
00030,After 2IFC,CC,54.54545454545454
00030,After 2IFC,CI,68.68686868686868
00030,After 2IFC,SC,60.1010101010101
00030,After YN,CC,62.62626262626263
00030,After YN,CI,70.2020202020202
00030,After YN,SC,60.1010101010101
00074,After 2IFC,CC,45.45454545454545
00074,After 2IFC,CI,46.464646464646464
00074,After 2IFC,SC,38.88888888888889
00074,After YN,CC,46.464646464646464
00074,After YN,CI,46.464646464646464
00074,After YN,SC,53.03030303030303
00081,After 2IFC,CC,35.858585858585855
00081,After 2IFC,CI,33.33333333333333
00081,After 2IFC,SC,41.91919191919192
00081,After YN,CC,26.767676767676768
00081,After YN,CI,30.303030303030305
00081,After YN,SC,28.28282828282828
000087,After 2IFC,CC,59.59595959595959
000087,After 2IFC,CI,50.505050505050505
000087,After 2IFC,SC,64.84848484848484
000087,After YN,CC,68.68686868686868
000087,After YN,CI,63.13131313131313
000087,After YN,SC,71.51515151515152
00089,After 2IFC,CC,74.24242424242425
00089,After 2IFC,CI,77.77777777777779
00089,After 2IFC,SC,70.70707070707071
00089,After YN,CC,74.74747474747475
00089,After YN,CI,87.37373737373737
00089,After YN,SC,85.85858585858585
00091,After 2IFC,CC,81.31313131313132
00091,After 2IFC,CI,84.34343434343434
00091,After 2IFC,SC,80.8080808080808
00091,After YN,CC,80.8080808080808
00091,After YN,CI,92.92929292929293
00091,After YN,SC,81.31313131313132
00093,After 2IFC,CC,66.16161616161617
00093,After 2IFC,CI,62.121212121212125
00093,After 2IFC,SC,63.63636363636363
00093,After YN,CC,74.24242424242425
00093,After YN,CI,67.17171717171718
00093,After YN,SC,66.06060606060606
00094,After 2IFC,CC,69.1919191919192
00094,After 2IFC,CI,66.66666666666666
00094,After 2IFC,SC,73.23232323232324
00094,After YN,CC,79.7979797979798
00094,After YN,CI,64.64646464646465
00094,After YN,SC,76.76767676767676
00096,After 2IFC,CC,63.63636363636363
00096,After 2IFC,CI,61.61616161616161
00096,After 2IFC,SC,65.65656565656566
00096,After YN,CC,67.87878787878789
00096,After YN,CI,65.15151515151516
00096,After YN,SC,69.6969696969697
00097,After 2IFC,CC,80.8080808080808
00097,After 2IFC,CI,77.27272727272727
00097,After 2IFC,SC,82.82828282828282
00097,After YN,CC,79.29292929292929
00097,After YN,CI,74.74747474747475
00097,After YN,SC,79.29292929292929
00098,After 2IFC,CC,34.34343434343434
00098,After 2IFC,CI,44.44444444444444
00098,After 2IFC,SC,41.41414141414141
00098,After YN,CC,53.03030303030303
00098,After YN,CI,51.010101010101
00098,After YN,SC,51.515151515151516
00099,After 2IFC,CC,50.505050505050505
00099,After 2IFC,CI,62.121212121212125
00099,After 2IFC,SC,48.484848484848484
00099,After YN,CC,54.04040404040404
00099,After YN,CI,67.17171717171718
00099,After YN,SC,55.55555555555556
00100,After 2IFC,CC,67.27272727272727
00100,After 2IFC,CI,64.64646464646465
00100,After 2IFC,SC,68.18181818181817
00100,After YN,CC,75.75757575757575
00100,After YN,CI,79.29292929292929
00100,After YN,SC,76.26262626262627
00102,After 2IFC,CC,78.18181818181819
00102,After 2IFC,CI,80.3030303030303
00102,After 2IFC,SC,72.72727272727273
00102,After YN,CC,84.24242424242424
00102,After YN,CI,78.78787878787878
00102,After YN,SC,81.81818181818183
00105,After 2IFC,CC,75.25252525252525
00105,After 2IFC,CI,85.35353535353535
00105,After 2IFC,SC,70.3030303030303
00105,After YN,CC,80.8080808080808
00105,After YN,CI,91.91919191919192
00105,After YN,SC,81.81818181818183
