Task,Condition,mean,std,count
2IFC,SC,1.524125,0.22493017435047108,16
2IFC,CC,1.587125,0.26008995238827154,16
2IFC,CI,1.4544375,0.25385349285234066,16
YN,SC,1.1,0.5594589052528046,16
YN,CC,1.0979375,0.29167846880883525,16
YN,CI,0.9415625,0.4818552989919968,16
