Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Condition,SC,CC,True,True,-1.6643007129429628,15.0,two-sided,0.11679687880386751,0.3503906364116025,bonf,0.794,-0.30706974017157473
Condition,SC,CI,True,True,-0.34445240385018167,15.0,two-sided,0.7352877939850662,1.0,bonf,0.269,-0.07869254824640261
Condition,CC,CI,True,True,1.2103728516099568,15.0,two-sided,0.24486393111234978,0.7345917933370494,bonf,0.477,0.2334820661530896
