Subject,Category,Contrast
00024,CC,0.039885533824714894
00024,CI,0.05344440844294915
00024,SC,0.050216219407262994
00030,CC,0.0353270272575752
00030,CI,0.03303177678372352
00030,SC,0.03790435858355735
00074,CC,0.033772060870392244
00074,CI,0.026137578293398106
00074,SC,0.02609952979389737
00081,CC,0.045248955077219016
00081,CI,0.04379095248090255
00081,SC,0.0520345459523866
000087,CC,0.04063447877113424
000087,CI,0.03113848977810025
000087,SC,0.02853707793409841
00089,CC,0.03384546849431792
00089,CI,0.03699345628202354
00089,SC,0.0320718115021527
00091,CC,0.026977581026499015
00091,CI,0.028343130766592
00091,SC,0.030015575185830028
00093,CC,0.03128659731991749
00093,CI,0.0309790751272222
00093,SC,0.02746746719744041
00094,CC,0.03488955205814217
00094,CI,0.032513797483371874
00094,SC,0.04634007229940071
00096,CC,0.049242668544461264
00096,CI,0.053801451129948566
00096,SC,0.04531261218470421
00097,CC,0.04273834407991047
00097,CI,0.03759899985002486
00097,SC,0.04825860409869955
00098,CC,0.04047172252170682
00098,CI,0.0389933759393869
00098,SC,0.04026075291918143
00099,CC,0.03510944054372643
00099,CI,0.03472421515170199
00099,SC,0.03524957173180866
00100,CC,0.02832750978025275
00100,CI,0.03674555400514744
00100,SC,0.03430451556885855
00102,CC,0.03178244007354838
00102,CI,0.039154397449401745
00102,SC,0.05417629741488511
00105,CC,0.044241599133119994
00105,CI,0.042090471789195665
00105,SC,0.03090063441450119
