Task,Category,mean,std,count
2IFC,SC,77.38636363636364,3.489139991626672,16
2IFC,CC,78.0239898989899,3.1946390726032985,16
2IFC,CI,76.1205808080808,3.17281172807496,16
YN,SC,64.8989898989899,7.036086479063231,16
YN,CC,65.53030303030303,5.530399119746985,16
YN,CI,63.77840909090909,5.346517818199852,16
