Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.426,1.517,1.468,1.043,1.208,0.688,0.823
CC,1.121,1.648,1.634,1.591,1.679,0.965,1.027
CI,1.2,1.555,1.497,1.059,1.151,0.681,0.769
