Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.0,1.673,1.673,0.602,0.602,0.498,0.188,0.36
CC,1.434,1.289,1.666,0.464,0.538,0.112,-1.208,0.323
CI,1.0,1.159,1.159,0.461,0.461,-0.743,-0.536,0.398
