Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.999,1.064,1.063,0.524,0.524,0.624,-0.28,0.493
CC,1.005,1.079,1.085,0.48,0.481,0.434,-0.005,0.444
CI,1.0,0.194,0.194,0.116,0.116,-0.409,0.274,0.599
