Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.727,1.7,1.452,0.73,0.894,0.429,0.615
CC,1.252,1.619,1.553,0.742,0.82,0.458,0.528
CI,2.212,1.682,1.291,1.563,2.015,0.929,1.561
