Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,3.144,1.747,1.298,1.402,1.889,0.802,1.456
CC,1.682,1.657,1.41,1.861,2.263,1.123,1.605
CI,1.447,1.659,1.416,1.237,1.439,0.746,1.017
