Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.436,0.92,1.248,0.393,0.456,0.276,0.247,0.366
CC,1.082,0.582,0.636,0.753,0.782,0.276,-0.044,1.228
CI,1.0,1.127,1.127,0.455,0.455,-0.175,0.225,0.404
