Subject,Condition,Task,da
00139,SC,2IFC,2.31
00139,SC,YN,1.326
00139,CC,2IFC,2.311
00139,CC,YN,1.16
00139,CI,2IFC,1.815
00139,CI,YN,0.587
00173,SC,2IFC,1.549
00173,SC,YN,0.7
00173,CC,2IFC,1.344
00173,CC,YN,0.965
00173,CI,2IFC,1.278
00173,CI,YN,1.035
00210,SC,2IFC,1.298
00210,SC,YN,1.248
00210,CC,2IFC,1.41
00210,CC,YN,0.636
00210,CI,2IFC,1.416
00210,CI,YN,1.127
00212,SC,2IFC,1.473
00212,SC,YN,0.832
00212,CC,2IFC,1.17
00212,CC,YN,0.494
00212,CI,2IFC,1.224
00212,CI,YN,0.879
00216,SC,2IFC,1.546
00216,SC,YN,1.614
00216,CC,2IFC,1.416
00216,CC,YN,0.395
00216,CI,2IFC,1.613
00216,CI,YN,1.472
00217,SC,2IFC,1.356
00217,SC,YN,1.206
00217,CC,2IFC,1.358
00217,CC,YN,0.944
00217,CI,2IFC,1.442
00217,CI,YN,0.133
00218,SC,2IFC,1.43
00218,SC,YN,1.339
00218,CC,2IFC,1.675
00218,CC,YN,1.952
00218,CI,2IFC,1.06
00218,CI,YN,0.323
00219,SC,2IFC,1.702
00219,SC,YN,1.326
00219,CC,2IFC,1.753
00219,CC,YN,1.45
00219,CI,2IFC,1.587
00219,CI,YN,1.088
00220,SC,2IFC,1.139
00220,SC,YN,1.515
00220,CC,2IFC,1.297
00220,CC,YN,1.524
00220,CI,2IFC,1.601
00220,CI,YN,0.68
00222,SC,2IFC,1.463
00222,SC,YN,2.014
00222,CC,2IFC,1.479
00222,CC,YN,2.211
00222,CI,2IFC,1.645
00222,CI,YN,1.085
00223,SC,2IFC,1.468
00223,SC,YN,1.673
00223,CC,2IFC,1.634
00223,CC,YN,1.666
00223,CI,2IFC,1.497
00223,CI,YN,1.159
00224,SC,2IFC,1.734
00224,SC,YN,1.514
00224,CC,2IFC,1.614
00224,CC,YN,1.244
00224,CI,2IFC,1.74
00224,CI,YN,0.234
00225,SC,2IFC,1.593
00225,SC,YN,0.788
00225,CC,2IFC,1.823
00225,CC,YN,0.816
00225,CI,2IFC,1.484
00225,CI,YN,0.458
00226,SC,2IFC,1.554
00226,SC,YN,1.549
00226,CC,2IFC,2.038
00226,CC,YN,1.15
00226,CI,2IFC,1.783
00226,CI,YN,1.023
00227,SC,2IFC,1.687
00227,SC,YN,1.57
00227,CC,2IFC,2.076
00227,CC,YN,0.012
00227,CI,2IFC,1.323
00227,CI,YN,0.569
00228,SC,2IFC,1.612
00228,SC,YN,0.985
00228,CC,2IFC,1.432
00228,CC,YN,0.751
00228,CI,2IFC,1.436
00228,CI,YN,0.37
