Category,Overall,After 2IFC,After YN
SC,0.8223999553388484,1.313361459208818,1.095954262271929
CC,0.6580259676341633,1.1535365328704297,1.1283857628577587
CI,1.2323515580778206,1.2310875849586282,1.560878362996839
