Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,6.625088601685461,15.0,two-sided,8.079715121214854e-06,,,2678.457,1.8934184480362588
Condition,-,SC,CC,True,True,-0.30134756954721825,15.0,two-sided,0.7672867184603527,1.0,bonf,0.266,-0.10288851848961568
Condition,-,SC,CI,True,True,1.2960391059613774,15.0,two-sided,0.21454965000128826,0.6436489500038648,bonf,0.52,0.34370382958715506
Condition,-,CC,CI,True,True,1.6456428181651437,15.0,two-sided,0.12062415947932933,0.361872478437988,bonf,0.776,0.5446719136900658
Task * Condition,2IFC,SC,CC,True,True,-0.9136441682451297,15.0,two-sided,0.3753562493222825,1.0,bonf,0.367,-0.2525711206615028
Task * Condition,2IFC,SC,CI,True,True,0.9089078683251258,15.0,two-sided,0.3777713543724457,1.0,bonf,0.366,0.2832471663307106
Task * Condition,2IFC,CC,CI,True,True,1.8888742116264068,15.0,two-sided,0.07840046590330181,0.4704027954198109,bonf,1.066,0.5032962930097493
Task * Condition,YN,SC,CC,True,True,0.012526269699995223,15.0,two-sided,0.9901708311104145,1.0,bonf,0.255,0.004506505790711602
Task * Condition,YN,SC,CI,True,True,1.186338551662792,15.0,two-sided,0.2539399115207412,1.0,bonf,0.466,0.29581114239518524
Task * Condition,YN,CC,CI,True,True,0.9986085759810022,15.0,two-sided,0.333822122886281,1.0,bonf,0.393,0.3827234747359513
