Condition,Measure,mean,std,count
SC,HR,0.4363125,0.20961543160432314,16
SC,FAR,0.1386875,0.11488122489481617,16
CC,HR,0.45306250000000003,0.16805612901646882,16
CC,FAR,0.1435,0.10056573306383573,16
CI,HR,0.4156875,0.18071366624211538,16
CI,FAR,0.1390625,0.1177457536389317,16
