Contrast,Task,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Task,-,2IFC,YN,True,True,12.193656994344458,15.0,two-sided,3.472163568955812e-09,,,3.132e+06,3.2060722140094358
Category,-,SC,CC,True,True,-0.615637684292954,15.0,two-sided,0.5473619587692831,1.0,bonf,0.302,-0.1481336259445246
Category,-,SC,CI,True,True,1.0957807628875222,15.0,two-sided,0.29045698328263114,0.8713709498478934,bonf,0.428,0.2814752809770127
Category,-,CC,CI,True,True,1.581195037138514,15.0,two-sided,0.13468597405788527,0.40405792217365577,bonf,0.717,0.4593785291389236
Task * Category,2IFC,SC,CC,True,True,-0.6469478223808941,15.0,two-sided,0.5274424724975808,1.0,bonf,0.307,-0.18580780792859328
Task * Category,2IFC,SC,CI,True,True,1.290307221105416,15.0,two-sided,0.21648060286657841,1.0,bonf,0.517,0.37000680302808103
Task * Category,2IFC,CC,CI,True,True,1.8288705380833685,15.0,two-sided,0.08736979553846078,0.5242187732307646,bonf,0.983,0.5827805018100922
Task * Category,YN,SC,CC,True,True,-0.41556380775651275,15.0,two-sided,0.6836130404722197,1.0,bonf,0.276,-0.09724711970520918
Task * Category,YN,SC,CI,True,True,0.6826701751299705,15.0,two-sided,0.5052224845194011,1.0,bonf,0.313,0.1748101254400314
Task * Category,YN,CC,CI,True,True,1.1441483197728384,15.0,two-sided,0.27049254862278854,1.0,bonf,0.447,0.313964806915015
