Contrast,Phase,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Phase,-,After 2IFC,After YN,True,True,-2.8849002963130856,15.0,two-sided,0.01133642806505615,,,4.933,-0.2686967343738201
Category,-,SC,CC,True,True,0.17676908659818838,15.0,two-sided,0.8620544218533299,1.0,bonf,0.259,0.009353476008915234
Category,-,SC,CI,True,True,-0.7572845018823846,15.0,two-sided,0.46061067929834587,1.0,bonf,0.328,-0.08857258930670323
Category,-,CC,CI,True,True,-0.8809211001005699,15.0,two-sided,0.3922570812856193,1.0,bonf,0.358,-0.09464090531407154
Phase * Category,After 2IFC,SC,CC,True,True,-0.14240631051282332,15.0,two-sided,0.8886542782815506,1.0,bonf,0.258,-0.01230677539034455
Phase * Category,After 2IFC,SC,CI,True,True,-0.7968481865946067,15.0,two-sided,0.4379707537147237,1.0,bonf,0.337,-0.11231970059776275
Phase * Category,After 2IFC,CC,CI,True,True,-0.8613626380391349,15.0,two-sided,0.4025981733783879,1.0,bonf,0.353,-0.09439159563563466
Phase * Category,After YN,SC,CC,True,True,0.429236046582524,15.0,two-sided,0.6738527861471324,1.0,bonf,0.277,0.029217082745125522
Phase * Category,After YN,SC,CI,True,True,-0.5600104984246141,15.0,two-sided,0.5837394574683217,1.0,bonf,0.293,-0.06320572020803353
Phase * Category,After YN,CC,CI,True,True,-0.7195728398462183,15.0,two-sided,0.4828496885659682,1.0,bonf,0.321,-0.09074068830212334
