Analysis,sphericity,W,chi2,dof,p
2IFC_d_a,True,0.9819583055770499,0.2548900229153834,2,0.8803418232168749
YN_d_a,True,0.9430473369475445,0.8209431910527154,2,0.6633373494343735
Ratio_d_a,True,0.9577188032727663,0.6048149641179801,2,0.7390368592646728
2IFC_meta_d_a,True,0.9612765805153697,0.5529034911819966,2,0.7584702177807447
YN_meta_d_a,True,0.9751624051462171,0.35211753464570716,2,0.8385687014513928
Contrast,True,0.7827038507019655,3.4300122978242684,2,0.1799626141354083
HR,True,0.9032152106476272,1.4251219562643038,2,0.49038671829806324
FAR,True,0.8239828082325238,2.710478583201175,2,0.25788557721537164
