Condition,T,dof,p_unc,hedges,p_bonf
SC,0.17720657035213777,15.0,0.8617168073430934,0.05280962090083009,1.0
CC,-0.3109451904482812,15.0,0.7601215295697452,-0.0972671332201963,1.0
CI,-0.7332826405655773,15.0,0.4746911839062443,-0.2329224409221424,1.0
