Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.844,0.884,0.832,1.045,0.953,1.863,-1.23,1.147
CC,0.793,0.575,0.494,0.998,0.877,0.61,0.052,1.775
CI,1.391,0.738,0.879,0.793,0.911,0.086,-0.634,1.037
