Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.027,1.479,1.473,0.909,0.921,0.615,0.625
CC,1.654,1.271,1.17,1.129,1.366,0.888,1.167
CI,1.667,1.408,1.224,1.054,1.278,0.748,1.044
