Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.657,0.338,0.437,1.324,1.028,0.521,0.066,2.352
CC,1.211,0.164,0.174,0.913,0.995,-0.243,-0.191,5.704
CI,0.808,0.136,0.1,0.864,0.768,-0.177,-0.267,7.697
