Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.85,1.863,1.819,0.988,1.23,0.53,0.676
CC,1.681,1.634,1.754,0.901,1.095,0.552,0.625
CI,2.71,1.781,1.665,0.845,1.121,0.474,0.673
