Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,3.031,1.226,1.964,0.424,0.569,-0.843,0.007,0.29
CC,0.829,0.765,0.637,0.64,0.578,1.32,-0.193,0.908
CI,2.269,1.013,1.721,0.36,0.466,-0.095,-0.061,0.271
