Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.805,1.205,1.734,0.427,0.529,0.687,0.208,0.305
CC,1.0,1.207,1.207,0.534,0.534,0.404,-0.256,0.443
CI,3.243,0.692,1.865,0.495,0.669,-1.687,-0.205,0.359
