Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.322,1.488,1.522,0.837,0.945,0.563,0.621
CC,1.115,1.436,1.455,0.801,0.843,0.558,0.58
CI,1.308,1.539,1.562,1.138,1.279,0.74,0.818
