Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00224,1.0,3.0,1,2IFC,SC,,right,True,0.2825505000073463,False,,,,True,0.049999999999999996,,,
,,,1,WM_probe,SC,,1,False,2.431434900034219,False,,,,False,,4.0,0.0,1.0
00224,1.0,3.0,2,2IFC,CI,,right,False,0.6344084001611918,False,,,,False,0.049999999999999996,,,
,,,2,WM_probe,CI,,1,True,0.8290161001496017,False,,,,True,,1.0,0.0,0.0
00224,1.0,3.0,3,2IFC,CI,,right,True,0.35130460001528263,False,,,,True,0.06294627058970836,,,
,,,3,WM_probe,CI,,3,True,0.8802720000967383,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,4,2IFC,CI,,right,True,0.29885869985446334,False,,,,True,0.049999999999999996,,,
,,,4,WM_probe,CI,,3,False,0.874612299958244,False,,,,False,,1.0,0.0,0.0
00224,1.0,3.0,5,2IFC,CC,,right,True,0.35718910000286996,False,,,,True,0.049999999999999996,,,
,,,5,WM_probe,CC,,4,False,1.3508290001191199,False,,,,False,,2.0,0.0,0.0
00224,1.0,3.0,6,2IFC,CI,,right,True,0.29365079989656806,False,,,,True,0.049999999999999996,,,
,,,6,WM_probe,CI,,1,True,0.8906414001248777,False,,,,True,,1.0,0.0,0.0
00224,1.0,3.0,7,2IFC,CC,,right,False,0.4001084000337869,False,,,,False,0.03971641173621406,,,
,,,7,WM_probe,CC,,3,True,1.3796967999078333,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,8,2IFC,SC,,right,True,0.10637170006521046,False,,,,True,0.03971641173621406,,,
,,,8,WM_probe,SC,,2,False,2.217585999984294,False,,,,False,,1.0,1.0,0.0
00224,1.0,3.0,9,2IFC,CI,,right,True,0.33772479998879135,False,,,,True,0.049999999999999996,,,
,,,9,WM_probe,CI,,2,True,1.3317601999733597,False,,,,True,,2.0,0.0,0.0
00224,1.0,3.0,10,2IFC,SC,,left,True,0.2367519000545144,False,,,,True,0.031547867224009644,,,
,,,10,WM_probe,SC,,2,True,1.2613086001947522,False,,,,True,,2.0,0.0,0.0
00224,1.0,3.0,11,2IFC,CC,,left,True,0.42360419989563525,False,,,,True,0.049999999999999996,,,
,,,11,WM_probe,CC,,3,True,1.1066315998323262,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,12,2IFC,CI,,right,True,0.33449089992791414,False,,,,True,0.03971641173621406,,,
,,,12,WM_probe,CI,,3,False,1.8620813998859376,False,,,,False,,4.0,0.0,0.0
00224,1.0,3.0,13,2IFC,SC,,left,True,0.26774460007436574,False,,,,True,0.025059361681363596,,,
,,,13,WM_probe,SC,,3,True,1.751329200109467,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,14,2IFC,CC,,left,True,0.386693499982357,False,,,,True,0.049999999999999996,,,
,,,14,WM_probe,CC,,3,False,1.5637370999902487,False,,,,False,,4.0,0.0,0.0
00224,1.0,3.0,15,2IFC,SC,,left,True,0.3141779999714345,False,,,,True,0.019905358527674843,,,
,,,15,WM_probe,SC,,3,False,1.159191400045529,False,,,,False,,2.0,1.0,0.0
00224,1.0,3.0,16,2IFC,SC,,left,False,0.5176591000054032,False,,,,False,0.01581138830084188,,,
,,,16,WM_probe,SC,,2,False,1.925281499978155,False,,,,False,,4.0,1.0,0.0
00224,1.0,3.0,17,2IFC,SC,,right,True,0.9613147999625653,False,,,,True,0.019905358527674843,,,
,,,17,WM_probe,SC,,1,False,1.2744088999461383,False,,,,False,,4.0,1.0,0.0
00224,1.0,3.0,18,2IFC,CI,,right,True,0.37421320006251335,False,,,,True,0.03971641173621406,,,
,,,18,WM_probe,CI,,3,True,1.3971178999636322,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,19,2IFC,CI,,left,True,0.2769299999345094,False,,,,True,0.03971641173621406,,,
,,,19,WM_probe,CI,,1,True,0.8108178998809308,False,,,,True,,1.0,0.0,0.0
00224,1.0,3.0,20,2IFC,SC,,left,True,0.3210475998930633,False,,,,True,0.019905358527674843,,,
,,,20,WM_probe,SC,,4,False,1.3157941999379545,False,,,,False,,3.0,1.0,0.0
00224,1.0,3.0,21,2IFC,CC,,right,True,0.3686210000887513,False,,,,True,0.049999999999999996,,,
,,,21,WM_probe,CC,,1,True,2.0429946000222117,False,,,,True,,1.0,0.0,0.0
00224,1.0,3.0,22,2IFC,CI,,right,True,0.3280550001654774,False,,,,True,0.031547867224009644,,,
,,,22,WM_probe,CI,,4,True,1.286755699897185,False,,,,True,,4.0,0.0,0.0
00224,1.0,3.0,23,2IFC,CC,,left,True,0.5096392000559717,False,,,,True,0.03971641173621406,,,
,,,23,WM_probe,CC,,1,False,1.6085391000378877,False,,,,False,,3.0,0.0,0.0
00224,1.0,3.0,24,2IFC,SC,,left,True,0.4222876999992877,False,,,,True,0.019905358527674843,,,
,,,24,WM_probe,SC,,3,False,0.9808714999817312,False,,,,False,,4.0,1.0,0.0
00224,1.0,3.0,25,2IFC,SC,,right,True,0.4086465002037585,False,,,,True,0.01581138830084188,,,
,,,25,WM_probe,SC,,2,False,1.6610320000909269,False,,,,False,,4.0,1.0,0.0
00224,1.0,3.0,26,2IFC,CC,,right,True,0.361205100081861,False,,,,True,0.03971641173621406,,,
,,,26,WM_probe,CC,,3,False,1.4076873001176864,False,,,,False,,1.0,0.0,0.0
00224,1.0,3.0,27,2IFC,SC,,left,False,0.4070929998997599,False,,,,False,0.01581138830084188,,,
,,,27,WM_probe,SC,,2,True,1.441370900021866,False,,,,True,,2.0,0.0,0.0
00224,1.0,3.0,28,2IFC,CC,,left,True,0.20294620003551245,False,,,,True,0.03971641173621406,,,
,,,28,WM_probe,CC,,3,False,1.4181560000870377,False,,,,False,,1.0,0.0,0.0
00224,1.0,3.0,29,2IFC,CC,,right,True,0.33464379981160164,False,,,,True,0.031547867224009644,,,
,,,29,WM_probe,CC,,1,False,1.54923709994182,False,,,,False,,2.0,0.0,0.0
00224,1.0,3.0,30,2IFC,CI,,left,True,0.44825379992835224,False,,,,True,0.031547867224009644,,,
,,,30,WM_probe,CI,,1,False,2.063967499881983,False,,,,False,,2.0,0.0,0.0
00224,1.0,3.0,31,2IFC,CI,,left,True,0.9857580999378115,False,,,,True,0.031547867224009644,,,
,,,31,WM_probe,CI,,4,True,1.663187799975276,False,,,,True,,4.0,0.0,0.0
00224,1.0,3.0,32,2IFC,CI,,left,True,0.5398854999803007,False,,,,True,0.025059361681363596,,,
,,,32,WM_probe,CI,,3,True,0.934418500168249,False,,,,True,,3.0,0.0,0.0
00224,1.0,3.0,33,2IFC,CI,,right,True,0.3543970000464469,False,,,,True,0.025059361681363596,,,
,,,33,WM_probe,CI,,3,False,1.9458698998205364,False,,,,False,,2.0,0.0,0.0
