Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.92,1.711,1.644,0.835,1.047,0.488,0.637
CC,2.195,1.649,1.594,0.986,1.27,0.598,0.796
CI,2.191,1.297,1.257,0.777,0.999,0.599,0.795
