Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.935,1.03,1.155,0.891,1.12,0.373,-0.442,0.969
CC,1.676,1.046,1.17,0.875,1.062,0.331,-1.619,0.908
CI,2.127,0.857,1.269,0.539,0.69,-0.84,-1.005,0.543
