Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00219,2.0,5.0,1,2IFC,SC,,right,True,0.5387069000862539,False,,,,True,0.049999999999999996,,,
,,,1,WM_probe,SC,,4,True,1.9795174000319093,False,,,,True,,4.0,0.0,0.0
00219,2.0,5.0,2,2IFC,SC,,right,True,0.6176008998882025,False,,,,True,0.03971641173621406,,,
,,,2,WM_probe,SC,,1,True,1.844644600059837,False,,,,True,,1.0,0.0,0.0
00219,2.0,5.0,3,2IFC,SC,,right,True,0.5222520001698285,False,,,,True,0.031547867224009644,,,
,,,3,WM_probe,SC,,no_response,False,,True,3,0.000287399860098958,True,True,,3.0,0.0,0.0
00219,2.0,5.0,4,2IFC,CI,,right,True,0.6002372000366449,False,,,,True,0.049999999999999996,,,
,,,4,WM_probe,CI,,4,True,1.0782198999077082,False,,,,True,,4.0,0.0,0.0
00219,2.0,5.0,5,2IFC,CC,,left,True,0.8488544998690486,False,,,,True,0.049999999999999996,,,
,,,5,WM_probe,CC,,4,False,1.7088143001310527,False,,,,False,,2.0,0.0,0.0
00219,2.0,5.0,6,2IFC,SC,,right,True,0.8550113998353481,False,,,,True,0.025059361681363596,,,
,,,6,WM_probe,SC,,2,True,2.1620493000373244,False,,,,True,,2.0,0.0,0.0
00219,2.0,5.0,7,2IFC,CC,,right,True,0.6349269999191165,False,,,,True,0.03971641173621406,,,
,,,7,WM_probe,CC,,4,True,2.1093666998203844,False,,,,True,,4.0,0.0,0.0
00219,2.0,5.0,8,2IFC,CC,,left,True,0.7030897999648005,False,,,,True,0.031547867224009644,,,
,,,8,WM_probe,CC,,1,True,2.162678699940443,False,,,,True,,1.0,0.0,0.0
00219,2.0,5.0,9,2IFC,SC,,left,False,0.9670282998122275,False,,,,False,0.019905358527674843,,,
,,,9,WM_probe,SC,,1,True,1.466691300040111,False,,,,True,,1.0,0.0,0.0
00219,2.0,5.0,10,2IFC,CI,,left,True,0.7800652999430895,False,,,,True,0.03971641173621406,,,
,,,10,WM_probe,CI,,4,True,1.8070517000742257,False,,,,True,,4.0,0.0,0.0
00219,2.0,5.0,11,2IFC,CI,,right,True,0.8531887999270111,False,,,,True,0.031547867224009644,,,
,,,11,WM_probe,CI,,1,True,2.32930069998838,False,,,,True,,1.0,0.0,0.0
00219,2.0,5.0,12,2IFC,SC,,left,False,0.6353399998042732,False,,,,False,0.025059361681363596,,,
,,,12,WM_probe,SC,,4,False,2.159945199964568,False,,,,False,,2.0,1.0,0.0
00219,2.0,5.0,13,2IFC,SC,,left,True,0.6152929000090808,False,,,,True,0.031547867224009644,,,
,,,13,WM_probe,SC,,4,True,2.3770873001776636,False,,,,True,,4.0,0.0,0.0
00219,2.0,5.0,14,2IFC,CI,,right,True,0.6377425000537187,False,,,,True,0.025059361681363596,,,
,,,14,WM_probe,CI,,2,True,1.3338257998693734,False,,,,True,,2.0,0.0,0.0
00219,2.0,5.0,15,2IFC,CC,,left,True,0.6989237000234425,False,,,,True,0.025059361681363596,,,
