Participant,Day,SessionBlock,Trial,Task,Category,FacePresent,Response,Correct,RT,NoResponse,LateResponse,LateResponseRT,LateCorrect,Combined_Correct,Contrast,Replaced,PTC,PTR
00219,2.0,6.0,1,2IFC,CC,,right,True,0.5543470999691635,False,,,,True,0.049999999999999996,,,
,,,1,WM_probe,CC,,4,True,1.0869548001792282,False,,,,True,,4.0,0.0,0.0
00219,2.0,6.0,2,2IFC,CC,,left,True,0.623313199961558,False,,,,True,0.03971641173621406,,,
,,,2,WM_probe,CC,,4,True,1.1051854998804629,False,,,,True,,4.0,0.0,0.0
00219,2.0,6.0,3,2IFC,SC,,right,True,0.3191654998809099,False,,,,True,0.049999999999999996,,,
,,,3,WM_probe,SC,,3,True,1.0983025999739766,False,,,,True,,3.0,0.0,0.0
00219,2.0,6.0,4,2IFC,SC,,right,True,0.6159926999825984,False,,,,True,0.03971641173621406,,,
,,,4,WM_probe,SC,,2,False,1.3860826001036912,False,,,,False,,1.0,1.0,0.0
00219,2.0,6.0,5,2IFC,SC,,left,True,0.5077120000496507,False,,,,True,0.031547867224009644,,,
,,,5,WM_probe,SC,,2,False,1.292308600153774,False,,,,False,,1.0,1.0,0.0
00219,2.0,6.0,6,2IFC,SC,,left,True,0.436189099913463,False,,,,True,0.025059361681363596,,,
,,,6,WM_probe,SC,,3,True,1.3967271998990327,False,,,,True,,3.0,0.0,0.0
00219,2.0,6.0,7,2IFC,CI,,left,True,0.5434793999884278,False,,,,True,0.049999999999999996,,,
,,,7,WM_probe,CI,,4,True,0.971146099967882,False,,,,True,,4.0,0.0,0.0
00219,2.0,6.0,8,2IFC,CC,,right,True,0.4380183999892324,False,,,,True,0.031547867224009644,,,
,,,8,WM_probe,CC,,4,True,0.8448922999668866,False,,,,True,,4.0,0.0,0.0
00219,2.0,6.0,9,2IFC,CC,,left,True,0.5155131001956761,False,,,,True,0.025059361681363596,,,
,,,9,WM_probe,CC,,1,True,1.4892278001643717,False,,,,True,,1.0,0.0,0.0
00219,2.0,6.0,10,2IFC,CI,,left,True,0.5500093998853117,False,,,,True,0.03971641173621406,,,
,,,10,WM_probe,CI,,2,True,1.469800799852237,False,,,,True,,2.0,0.0,0.0
00219,2.0,6.0,11,2IFC,CC,,right,False,0.6231394000351429,False,,,,False,0.019905358527674843,,,
,,,11,WM_probe,CC,,3,True,0.9885839999187738,False,,,,True,,3.0,0.0,0.0
00219,2.0,6.0,12,2IFC,CI,,right,True,0.6859685000963509,False,,,,True,0.031547867224009644,,,
,,,12,WM_probe,CI,,1,True,1.7996541999746114,False,,,,True,,1.0,0.0,0.0
00219,2.0,6.0,13,2IFC,CC,,right,False,0.7265323000028729,False,,,,False,0.025059361681363596,,,
,,,13,WM_probe,CC,,2,True,1.11349459993653,False,,,,True,,2.0,0.0,0.0
00219,2.0,6.0,14,2IFC,CI,,left,True,0.5404610999394208,False,,,,True,0.025059361681363596,,,
,,,14,WM_probe,CI,,3,True,1.1838017001282424,False,,,,True,,3.0,0.0,0.0
00219,2.0,6.0,15,2IFC,CI,,left,True,0.774831100134179,False,,,,True,0.019905358527674843,,,
