Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.896,1.208,1.103,0.658,0.621,1.163,-0.042,0.563
CC,2.8,1.432,2.083,0.577,0.769,-0.167,-0.405,0.369
CI,1.0,1.454,1.454,0.611,0.611,-0.693,-1.252,0.421
