Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.294,1.515,1.54,0.936,1.048,0.618,0.68
CC,1.261,1.622,1.65,0.74,0.82,0.456,0.497
CI,1.157,1.477,1.477,1.052,1.126,0.712,0.762
