Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.882,1.678,1.69,1.167,1.092,0.696,0.646
CC,1.296,2.112,2.098,0.925,1.035,0.438,0.494
CI,1.02,1.285,1.285,1.008,1.019,0.785,0.792
