Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.942,0.745,0.717,0.769,0.746,1.076,0.004,1.04
CC,1.159,1.136,1.168,1.097,1.174,0.83,0.66,1.005
CI,1.277,0.816,0.923,0.817,0.91,0.367,0.601,0.985
