Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.77,1.103,0.841,0.715,0.617,1.221,-0.231,0.733
CC,0.826,0.518,0.334,0.421,0.379,0.848,0.062,1.135
CI,0.602,0.224,-0.458,0.248,0.181,0.392,0.055,-0.396
