Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
Condition,SC,CC,True,True,0.7759467560488954,15.0,two-sided,0.44984248103576674,1.0,bonf,0.332,0.11332761066456004
Condition,SC,CI,True,True,5.273065960499278,15.0,two-sided,9.3729667261863e-05,0.000281189001785589,bonf,301.952,0.9657074020360382
Condition,CC,CI,True,True,5.715089009167901,15.0,two-sided,4.092583829286992e-05,0.00012277751487860977,bonf,628.967,0.8669000485240591
