Subject,Category,Contrast
00003,CC,0.036570167802507256
00003,CI,0.047658200352191524
00003,SC,0.04027245631034664
00038,CC,0.07198193663236911
00038,CI,0.08791781634580478
00038,SC,0.06253050451371088
00051,CC,0.02575464042105849
00051,CI,0.0320624392185601
00051,SC,0.02604299669323549
00052,CC,0.023093660806249645
00052,CI,0.026967392058994427
00052,SC,0.02228776476134599
00054,CC,0.04744861278817145
00054,CI,0.049370425162918945
00054,SC,0.0464596375963147
00060,CC,0.02934080684927308
00060,CI,0.03432692400949996
00060,SC,0.03941206602823514
00061,CC,0.029804355690029292
00061,CI,0.028867033354595503
00061,SC,0.036043336843728964
00068,CC,0.04043787943111196
00068,CI,0.033669562431748394
00068,SC,0.03608788008014056
00071,CC,0.03923045735329675
00071,CI,0.03517351835263431
00071,SC,0.04194868208890644
00130,CC,0.046274555056417824
00130,CI,0.062463111479346495
00130,SC,0.04338408680687601
00161,CC,0.045793474530202556
00161,CI,0.054374106073642056
00161,SC,0.048427733934331404
00162,CC,0.047967498728987555
00162,CI,0.0574762825075068
00162,SC,0.05930319989456913
00193,CC,0.06795527989528947
00193,CI,0.06580918527401773
00193,SC,0.06503491391332762
00200,CC,0.03567073685000435
00200,CI,0.03531245363691556
00200,SC,0.03638093409698312
00201,CC,0.03558424588984876
00201,CI,0.04126135928948792
00201,SC,0.050854730792796725
00202,CC,0.04721546777313277
00202,CI,0.052709082956480094
00202,SC,0.04670351307776559
