Task,Condition,mean,std,count
Scaled 2IFC,SC,1.2119368287799182,0.1932769116664826,16
Scaled 2IFC,CC,1.2244879741459793,0.17803365201556698,16
Scaled 2IFC,CI,1.2023024988862514,0.2001968562440478,16
YN,SC,1.2059375,0.752832028077977,16
YN,CC,1.3179375,0.5894032540064005,16
YN,CI,0.84425,0.7779327734451095,16
